log.prior	log.likelihood	log.likelihood.test.set
-1.520359327720738656e+04 -1.614549112237894951e+04 -2.599954113587527900e+03
-1.521577875757048241e+04 -1.615485106907079717e+04 -2.607812078751313948e+03
-1.522658658800269404e+04 -1.614513001492995318e+04 -2.605797685686213754e+03
-1.522096164146413321e+04 -1.614022903798560765e+04 -2.613495383422154191e+03
-1.524427531187219211e+04 -1.615455887921833346e+04 -2.613311416667098456e+03
-1.527540637383296416e+04 -1.614257685648354163e+04 -2.603689209596411274e+03
-1.524415605762652012e+04 -1.615793072462114833e+04 -2.604325921596624539e+03
-1.528630197109075925e+04 -1.614929043828595422e+04 -2.601728746381310884e+03
-1.529199900549370250e+04 -1.614304492535149257e+04 -2.601404641629000253e+03
-1.526182925359996807e+04 -1.615904346249951050e+04 -2.601474628330689484e+03
-1.526029586428318544e+04 -1.614244089848802469e+04 -2.602401889560470863e+03
-1.528269154940234512e+04 -1.614688723299411140e+04 -2.600027999329046452e+03
-1.525142511651911809e+04 -1.614236384243672364e+04 -2.598220203349311305e+03
-1.526333551699859163e+04 -1.614012574935188240e+04 -2.598214117192507729e+03
-1.521493492200671608e+04 -1.615977559540047514e+04 -2.597455448724721464e+03
-1.519688774204561923e+04 -1.615500937689095008e+04 -2.598918346928303890e+03
-1.518366355758621467e+04 -1.615869856879391409e+04 -2.602699466537043463e+03
-1.519548475713002699e+04 -1.615862113780543950e+04 -2.599597297718736172e+03
-1.519299489862262089e+04 -1.616223322980934972e+04 -2.602724187819039344e+03
-1.519025170134520340e+04 -1.615901377784213764e+04 -2.596366605045107463e+03
-1.521438099030836565e+04 -1.616237715171566379e+04 -2.597703898077392296e+03
-1.522278769574007492e+04 -1.614943716109497109e+04 -2.593944170158970337e+03
-1.520934072656786157e+04 -1.616199043085649646e+04 -2.604700300587149286e+03
-1.523014591596210448e+04 -1.615105073575725510e+04 -2.600008604770386228e+03
-1.522126565315213884e+04 -1.614881864751689864e+04 -2.597402283003347748e+03
-1.517474234004137543e+04 -1.615963315407759183e+04 -2.595830399502238834e+03
-1.516100895566592044e+04 -1.616446950106268014e+04 -2.598480768874720070e+03
-1.514970661403682061e+04 -1.616703994376130686e+04 -2.603996470038406187e+03
-1.512834292002767506e+04 -1.617381226896349108e+04 -2.598641536741040909e+03
-1.515979099375759142e+04 -1.615987956367692823e+04 -2.601938807775504756e+03
-1.515358242311395770e+04 -1.616755643513568793e+04 -2.606902639585300221e+03
-1.515408723544732857e+04 -1.616460479791228681e+04 -2.610213413141130786e+03
-1.516308920001083970e+04 -1.615966124879072413e+04 -2.610158089857365212e+03
-1.516974231711609173e+04 -1.616233885491661022e+04 -2.614823202824570217e+03
-1.515304011772299964e+04 -1.616349369670853594e+04 -2.615229048084533133e+03
-1.513891790796962778e+04 -1.616869313211586996e+04 -2.618244539181611344e+03
-1.511750714448173676e+04 -1.617179828967586946e+04 -2.614395583929324403e+03
-1.510656543648375373e+04 -1.617653606675298943e+04 -2.612751315557744419e+03
-1.511970237599372558e+04 -1.617158432078855731e+04 -2.606789096722076465e+03
-1.514616718278814369e+04 -1.615541123474538472e+04 -2.608253109125786978e+03
-1.513425740636050068e+04 -1.615986405220650340e+04 -2.608578931661000752e+03
-1.515741504360969884e+04 -1.614850054430211458e+04 -2.612912063079085328e+03
-1.515193074610744770e+04 -1.615729933929205072e+04 -2.615765386741519706e+03
-1.516944393901878357e+04 -1.615306927701132190e+04 -2.613532989909298067e+03
-1.519316676720187206e+04 -1.615842935760968248e+04 -2.612675823853194743e+03
-1.518288203221291042e+04 -1.616965249526730986e+04 -2.607731369463236661e+03
-1.518023820934499781e+04 -1.616775838360146190e+04 -2.603992855134954425e+03
-1.516978281951993631e+04 -1.617280389387835385e+04 -2.609566571935702996e+03
-1.516610133029161443e+04 -1.617319813423644155e+04 -2.612475111473805100e+03
-1.517172553109300861e+04 -1.616907092732805177e+04 -2.608577604112642803e+03
-1.515695509944182413e+04 -1.617230028069806212e+04 -2.608886886475882875e+03
-1.517345100854563862e+04 -1.617215542344689675e+04 -2.601356328498434323e+03
-1.519110648720460631e+04 -1.617565293383033713e+04 -2.615362177277653245e+03
-1.516937458911932481e+04 -1.618505725354486822e+04 -2.610186396390848586e+03
-1.514266982597751849e+04 -1.617493678491442552e+04 -2.611375029000034374e+03
-1.511920319088404540e+04 -1.617739344240955324e+04 -2.616138590650482456e+03
-1.512401886484582610e+04 -1.617330045991695624e+04 -2.614190604882068328e+03
-1.513090836959485569e+04 -1.616611435932393761e+04 -2.614131122106830844e+03
-1.515713631023738526e+04 -1.616215269403050843e+04 -2.615525756297594398e+03
-1.515790089268109296e+04 -1.616425022286543026e+04 -2.612787776040755489e+03
