time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	
8.435697551175046272e+01 7.922114950015860302e+01 9.616240706170759722e+01 1.038720723783518451e+02 1.014616840917356058e+02 9.985103114548120118e+01 9.500391896425583127e+01 9.610826900545852425e+01 1.135950676262343961e+02 1.083608583700224699e+02
1.056758051465955361e+02 9.789840191057649577e+01 9.752732395598673065e+01 9.241638832514942692e+01 1.025192881342039470e+02 1.047559913025277325e+02 1.091025409210543700e+02 1.128488267783226888e+02 8.495601564543436268e+01 8.393218009634585997e+01
1.112876075296799172e+02 9.842904119063267387e+01 9.103113926205901407e+01 9.506417473066233015e+01 1.014283668080178842e+02 9.629987219234325835e+01 9.914554196259884122e+01 1.171046991523683687e+02 9.859994379252900387e+01 7.731289007392223311e+01
1.017709167817554885e+02 9.990386089397645719e+01 8.697510746988818653e+01 1.094641551620256053e+02 9.663069813442442069e+01 1.217244532923354257e+02 9.990638552698069930e+01 8.771153132678757913e+01 1.006474180330971251e+02 8.113817683977725892e+01
1.071079470283930846e+02 8.627512093160645179e+01 8.334923168483474853e+01 9.742064141174199676e+01 9.924602466503728238e+01 1.090246537602440782e+02 1.048750457985591851e+02 8.868191554723424019e+01 1.100578638342370681e+02 1.107057029142274018e+02
1.067448963489283784e+02 8.257792949287774320e+01 9.768325468805866763e+01 1.028614645878924705e+02 8.331543741554347093e+01 9.149080337940185359e+01 1.016374893389313883e+02 8.711018540643200936e+01 1.042940560860528478e+02 1.147660806005401639e+02
1.131843588872243629e+02 1.132234167057388277e+02 1.045873606262173894e+02 1.055322086349080166e+02 1.128270699454734540e+02 1.102021331291403072e+02 9.890406910651165617e+01 8.421069402861026276e+01 1.092996105557172370e+02 1.099360103724349642e+02
9.568246475497770120e+01 1.161053614824552511e+02 1.029656021527801784e+02 1.111555999658075535e+02 9.934255477000378676e+01 1.048032638667084342e+02 8.655739717923236753e+01 9.242114222766682019e+01 8.762453349754035514e+01 1.253358749713106022e+02
1.080103122091255301e+02 1.157255970188920742e+02 9.568022777027350401e+01 9.201438483775096699e+01 9.653818590541311551e+01 1.011167981437125860e+02 1.004392074460819231e+02 9.682281146710070630e+01 1.056289786868202185e+02 1.060063099366639108e+02
1.071009934799409251e+02 8.851687206591876134e+01 9.502061247927022691e+01 9.173177235787832728e+01 1.120931717686820264e+02 1.005258223614308406e+02 1.048594595783445271e+02 1.005504591367342471e+02 1.012256071816852909e+02 9.201574258221077685e+01
9.803830909641948210e+01 9.682109760874968174e+01 8.419261998698267746e+01 9.992027636407688362e+01 1.139429715699681367e+02 9.870475544083919317e+01 1.076921610000757283e+02 9.455977273805002881e+01 8.889647564262516255e+01 1.001233807197890684e+02
9.979879094022922459e+01 9.716269734299559957e+01 1.220596968055926652e+02 1.036029516814756164e+02 1.026727727299854962e+02 9.483523400263389647e+01 9.468097903305276475e+01 9.310133945334831651e+01 8.799835379604739671e+01 9.075928580208520202e+01
1.013451763938143841e+02 1.018388550863627131e+02 1.011386949538818385e+02 9.804078704645516495e+01 9.837467844955176588e+01 9.947120364073600740e+01 1.047534031148968836e+02 1.010634274966346879e+02 1.042677564917626540e+02 9.149756933544965420e+01
9.974948005922642835e+01 1.210796709903850399e+02 1.035401148732864698e+02 9.537049157575194158e+01 1.005026579270712830e+02 1.070350472246708762e+02 1.044173047261828629e+02 9.649998528271225950e+01 9.524895832682794605e+01 8.963045707673759921e+01
8.079798513544493233e+01 1.064592020038482900e+02 1.068929170809956872e+02 9.384522325381914243e+01 1.029325559927640086e+02 9.216717809653863469e+01 1.074731107670035470e+02 1.018965529298982773e+02 9.983125619204037093e+01 9.459698876301622761e+01
1.173390111933971696e+02 1.023088192333521533e+02 1.074275503235672744e+02 9.082920666642749552e+01 1.211297074024389673e+02 9.996381861210585384e+01 9.979919342003515226e+01 9.624155271751035912e+01 1.009961558273415108e+02 9.872299159379261368e+01
8.469299785194328933e+01 1.033850176201308955e+02 9.680658331329543387e+01 9.785718484084216584e+01 9.082557581145442782e+01 9.733197950143249955e+01 1.084455954155847621e+02 1.012974496220397640e+02 8.961130559376718452e+01 1.116168448859376099e+02
9.626562073070235215e+01 9.252210691951637500e+01 1.104995120548301770e+02 9.280423632991710292e+01 9.765314200489567042e+01 1.010351198487622071e+02 9.147985921182842617e+01 1.104269655721889194e+02 8.998716937202132726e+01 9.575670985792348233e+01
8.773513655123527144e+01 9.428003648452556718e+01 9.052666610605581354e+01 1.154851039628078695e+02 9.882711506872273333e+01 1.110493093659864314e+02 9.214316467124038468e+01 1.124972833248350810e+02 1.034386666705660360e+02 9.565256952490990727e+01
1.037899951838885073e+02 1.024555815552328966e+02 8.992799295070381049e+01 1.209279469664958384e+02 9.835850112423680969e+01 9.439147853707963520e+01 9.516438068338199230e+01 9.045103063449320757e+01 9.111651877422032442e+01 1.059429801426140898e+02
1.088194892741695696e+02 1.092737809588019502e+02 9.352069670180000571e+01 1.096304827535533377e+02 1.039687977564214378e+02 1.159204067166269425e+02 1.194155264693723524e+02 9.291792694785387141e+01 1.110252560494710110e+02 1.004815447707642448e+02
8.636091773228537249e+01 8.724687236862617112e+01 9.023997073880259734e+01 1.210010139099191946e+02 9.308342317716120817e+01 1.014344152398998915e+02 1.145020763831071093e+02 8.923506460441072363e+01 1.060592469123622550e+02 9.024426419138218591e+01
9.874097859457897641e+01 9.717104491723358706e+01 1.003261820990955471e+02 1.143706815479690277e+02 1.027149284280289407e+02 1.043296271656459311e+02 8.946680841905299530e+01 8.714083547912613881e+01 1.038653804173064970e+02 9.672261756173207914e+01
9.047582706461369639e+01 1.028586231820218018e+02 9.701164127507828994e+01 8.291563825278728928e+01 9.845843873903166354e+01 9.242304812966835925e+01 8.986224648363406686e+01 9.454502370441703363e+01 9.240997880624205152e+01 9.329504832130028547e+01
1.107060944893012362e+02 1.058540356926343975e+02 9.981328153617879195e+01 8.616288874633239914e+01 9.244475220350291522e+01 8.502052380686042454e+01 1.011412756596668174e+02 8.923357224680306388e+01 1.105412821725628731e+02 9.698407422450304693e+01
1.044222808005863214e+02 1.050077462233209502e+02 9.755822163377924028e+01 9.842763020004950647e+01 9.911935589699027105e+01 1.106778354472658350e+02 1.004524334639306034e+02 1.070086593748451946e+02 1.061491194044310618e+02 1.066859078059476929e+02
1.035437027864956718e+02 6.876768786074525508e+01 8.481244249766454857e+01 8.552574318049454405e+01 1.012663770953310234e+02 9.125578609526708362e+01 1.029729243120983710e+02 9.367835487526156157e+01 1.107444622551051339e+02 8.540163458378950168e+01
9.318030645949096424e+01 9.379596742726694458e+01 1.148981075032417323e+02 1.013250803025153601e+02 1.054732698296627120e+02 9.210893007789579201e+01 9.743116953583658812e+01 6.816631991801740753e+01 1.137231562932367837e+02 1.177350597231820473e+02
9.723065643868201846e+01 8.756714753423921138e+01 1.115256217961631364e+02 1.011573025921663884e+02 1.098542323063594353e+02 9.477871562643414904e+01 9.204105840822909101e+01 1.147885094468309006e+02 9.594253290825673730e+01 9.740337252923362144e+01
1.084213541501201519e+02 8.939286944887062702e+01 9.550932033036289681e+01 1.081662297393857841e+02 1.182985085216887171e+02 1.058447287397846281e+02 9.296469577713487809e+01 1.130228862123215663e+02 1.048757408055810458e+02 9.355740187492357052e+01
