word.concentration.1	word.concentration.2	word.concentration.3	word.concentration.4	word.concentration.5	word.concentration.6	word.concentration.7	word.concentration.8	word.concentration.9	word.concentration.10	word.concentration.11	word.concentration.12	
9.895818451984943920e+00 9.937459277128063206e+00 9.882762280032711288e+00 7.871063151111536982e+00 9.876852282362705182e+00 9.756635714011972382e+00 8.439210915011148728e+00 9.954381447184392329e+00 9.604346001547050093e+00 7.673265909982721844e+00 9.882025464167885076e+00 6.553930645879957773e+00
9.922297861939865626e+00 9.682486938878419380e+00 9.860487209375822459e+00 9.858323897986856821e+00 9.579903285325579887e+00 9.779269640470099390e+00 8.138196575030777424e+00 9.651191163671162698e+00 9.690947123534067842e+00 9.272959514130766578e+00 9.745390224189176109e+00 7.384331457852101543e+00
9.909809874970946453e+00 9.480184481180572220e+00 9.583103727261459426e+00 9.845673675144226422e+00 9.848195982378964430e+00 9.696175142140754488e+00 8.428691154520267403e+00 8.840668153636471516e+00 9.845087456276541360e+00 9.438463342665812661e+00 9.838944643954846470e+00 8.032507678592445188e+00
9.833519261433323777e+00 9.887649477017763644e+00 9.547701182832993183e+00 8.772311620116015618e+00 9.955561133590313361e+00 9.989543594049465014e+00 9.782076381251538777e+00 9.864471014185488329e+00 9.219972578906594052e+00 9.981681721358345527e+00 9.176332813110672504e+00 9.984596300168700367e+00
9.897897862564693838e+00 9.812950083937423074e+00 9.188253852336089267e+00 8.477538317086722230e+00 9.979716669011402530e+00 9.991585404297419259e+00 9.590157943697244392e+00 9.560303717274099000e+00 9.651811366079133592e+00 9.629888481330899808e+00 8.768169613436723964e+00 9.014644648859501785e+00
9.935969078662916232e+00 9.908813237524817907e+00 9.231796372121047867e+00 9.161940752487668149e+00 9.931119006512416192e+00 9.943795434195720873e+00 9.459063364755216696e+00 9.615582224890598440e+00 9.895706033351263642e+00 8.842177676357987792e+00 9.890239592601492546e+00 9.246937655979616366e+00
9.908030775736852647e+00 9.885070309366808416e+00 9.583550084093754862e+00 9.088607526554691063e+00 9.160803184373424557e+00 9.941469288631164858e+00 9.952063301069323131e+00 9.877207478748342595e+00 9.726171407484292430e+00 9.312219900858650590e+00 9.856529829516349039e+00 7.928700075574119488e+00
9.919887811467681615e+00 9.928630432743629441e+00 9.670343322093094329e+00 8.606947049338693034e+00 9.366449833245832579e+00 9.962430707247499129e+00 9.717976994875638042e+00 9.913416800153870057e+00 9.660789460092454206e+00 9.957913203290109649e+00 9.801225455704189571e+00 5.223313725419879816e+00
9.983719430475094470e+00 9.961343004264861634e+00 9.596460790255429529e+00 8.231549885137372513e+00 9.947265334697574346e+00 9.998666685436884194e+00 8.511844905370116621e+00 9.956638376979860539e+00 9.443077148349850347e+00 9.818699427651582212e+00 9.616422707288933225e+00 5.595532041718444205e+00
9.937159313138076655e+00 9.965545170641194161e+00 9.718099763358727827e+00 9.767925695331591385e+00 9.944328675685328633e+00 9.992707640027497007e+00 8.854537703646652602e+00 9.296328987962363399e+00 9.238362064855689226e+00 9.897728438419402863e+00 9.507502021103903189e+00 6.694499365960614234e+00
9.989485129149201725e+00 9.849690359211802360e+00 9.677456869250084637e+00 9.485529030031463193e+00 9.961700321115946721e+00 9.784453151940917692e+00 9.456286912986616500e+00 9.729416443495143341e+00 9.711682234117464674e+00 9.952537869761849620e+00 9.521495571294330773e+00 7.006811844491556585e+00
9.989431141805990677e+00 9.889149452996296219e+00 9.841824950482706669e+00 9.555986067150291419e+00 9.748035321302616296e+00 9.779418564925647317e+00 9.352647377486825064e+00 9.565514807951736032e+00 9.711704570438719486e+00 9.837672942963905598e+00 9.913196295680362979e+00 8.622638636537956813e+00
9.923869502927717079e+00 9.995858855223675121e+00 9.851983311738576887e+00 9.253028689446624711e+00 9.831694554968036570e+00 9.958617419187831388e+00 9.126351013692987735e+00 9.568734746111262623e+00 9.904056711283915959e+00 9.582848349859130366e+00 9.974795108999712667e+00 8.600970014648970263e+00
9.791906200844810115e+00 9.994930595983337440e+00 9.632233256641683283e+00 8.926980436287543341e+00 9.988999641306946842e+00 9.788679293024891592e+00 9.495036278930738760e+00 9.600414961719613061e+00 9.887404286924189378e+00 9.587505955157446635e+00 9.907332383906339857e+00 9.986700746212772373e+00
9.762979984191968441e+00 9.977205510173074998e+00 9.566424306038195269e+00 9.827287715292415626e+00 9.653701590849523839e+00 9.811723868025472584e+00 9.882137363352972770e+00 9.900831476513491936e+00 9.837721976670362523e+00 9.650911791467843059e+00 9.985042217223075056e+00 8.808488204543079902e+00
9.890637012753279222e+00 9.876986960330716769e+00 9.574663003528790739e+00 8.864708626294198979e+00 9.667085778097549209e+00 9.995374548720707963e+00 9.985802765509841805e+00 9.802300407872120758e+00 9.916873087863594449e+00 9.680106495621418006e+00 8.841192022144054974e+00 9.697632341984776971e+00
9.865279113346055340e+00 9.953453521114628444e+00 9.709504153682262384e+00 8.070740467179263078e+00 9.317093086137196778e+00 9.973680928805494617e+00 9.574448976692686131e+00 9.439792913709329270e+00 9.604788209029980095e+00 9.845617557454890090e+00 8.645080390805903292e+00 8.679852392797066329e+00
9.928748054781030064e+00 9.866258495565983111e+00 9.817991201638822218e+00 9.283060038875071029e+00 9.041511195364677178e+00 9.969863872434101992e+00 5.441906362754238557e+00 9.803273691201695783e+00 9.520460078384832769e+00 9.687724149833917053e+00 9.120058020209285132e+00 8.463339984373469349e+00
9.909728612552616056e+00 9.522730407291234656e+00 9.900281547423215756e+00 8.234527912341023992e+00 9.904674448741381809e+00 9.900013393014317487e+00 7.112942730815916548e+00 9.993088002034962614e+00 9.676276662548437102e+00 9.828901629049600075e+00 9.804255017228509672e+00 8.453383127134014074e+00
9.988760943333735653e+00 9.870205183666286075e+00 9.972384707364756906e+00 7.034001640770283892e+00 9.819898434098131901e+00 9.851580566874501343e+00 9.022519447027169903e+00 9.998836138444826105e+00 9.173142450938735593e+00 9.822661215004830026e+00 9.939762165820908990e+00 8.225961661138597947e+00
