time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	time.decay.10	time.decay.11	time.decay.12	
9.346819929148388439e+01 1.054938833921818997e+02 1.024035123132823344e+02 9.237639838637609557e+01 1.198988444741399633e+02 9.279282622135781367e+01 1.020428889988427272e+02 1.044441596120178986e+02 1.098129433083290536e+02 9.434303393339384058e+01 1.086847780032569517e+02 9.300153368448334845e+01
9.384999878410694407e+01 9.716597109925420739e+01 9.908839991067119968e+01 9.465026694302585497e+01 1.203608965474669219e+02 8.561815318194970814e+01 1.005286928329552154e+02 9.894466205739740872e+01 1.081643021018953021e+02 9.397304898679900020e+01 1.024124640802100004e+02 9.405309244869719976e+01
9.464900304555283128e+01 1.071361114637013827e+02 9.948024476768992486e+01 1.051253874367880030e+02 1.243030024883496054e+02 9.087055352231269012e+01 9.888212945938073517e+01 9.464777299002665245e+01 8.047727106403397102e+01 9.998693406322362875e+01 1.053282302347859911e+02 9.740219327680455308e+01
1.071751654198085788e+02 9.891995089309001798e+01 1.018821554324547662e+02 1.106718075597665916e+02 1.126162853831314692e+02 1.079236229992084191e+02 1.151606758033285587e+02 9.134990244658318659e+01 1.012590922577789314e+02 1.023225946906410968e+02 9.294738746717000311e+01 9.893797908974912048e+01
1.003153956648739324e+02 1.107998098844397958e+02 1.013599583904957910e+02 1.044669834877830112e+02 7.941707527557635160e+01 9.693283976425553305e+01 9.750157521706404395e+01 9.137167155337887436e+01 1.051283435605754164e+02 9.538557478280650059e+01 9.682723876402451424e+01 9.344121713538621066e+01
9.748386914197755004e+01 1.087926170094590503e+02 1.095119307155621016e+02 1.006324578848498277e+02 1.163556375536704053e+02 1.004252600961251147e+02 1.166407352022999788e+02 8.717743018893391138e+01 1.105715451666570885e+02 8.866456674657818837e+01 9.382005874011606750e+01 1.096630493205542081e+02
1.000478151504405133e+02 1.100558110161024814e+02 9.672197003813184324e+01 8.422362970288381234e+01 1.051916688672916109e+02 9.313332316919336051e+01 8.068823230653302403e+01 8.847525318474561118e+01 1.008779481619057634e+02 9.091630244276714734e+01 1.001404882149926436e+02 9.067897180423724990e+01
1.052023966916808320e+02 1.038483491364385998e+02 1.011166024159999495e+02 9.578956990756446999e+01 9.161734292185961692e+01 9.925092856149599641e+01 1.197573404706039923e+02 8.857279207092584272e+01 1.011375032546473136e+02 1.114166079623240080e+02 8.767290732557134447e+01 8.949808824052826139e+01
9.464127836102174740e+01 1.034064406919607677e+02 1.013273648572177308e+02 9.749957644508060639e+01 1.068832341170548830e+02 9.940993049705780038e+01 8.253304730263037925e+01 1.187473993484851178e+02 9.565627878023398978e+01 9.401089425024434831e+01 9.837708107330547591e+01 1.205235540078509473e+02
1.032719138431065176e+02 1.178907352531739150e+02 1.023306507318203700e+02 1.073132755550703337e+02 1.149628527411728669e+02 9.787229865183692823e+01 8.317857088052875270e+01 8.617444133351251878e+01 9.648683591151413452e+01 1.041984763786942665e+02 9.482094029954205894e+01 1.106765608130807834e+02
1.031157013807374341e+02 1.055140302070094549e+02 1.028688988023576059e+02 8.629378180650004992e+01 1.060868413522874221e+02 9.749673636573990620e+01 9.329535802059101002e+01 1.142428901236102661e+02 8.891000079880596729e+01 1.035926982355348400e+02 9.891015143360374395e+01 1.137519918053943400e+02
1.083017056120191484e+02 9.646673034879624709e+01 9.043078335487719244e+01 1.025912058228397541e+02 9.629623211276179973e+01 9.991588664923285990e+01 9.275937469013054226e+01 1.031116122452876311e+02 9.710551340718359370e+01 1.016422019696924934e+02 1.084009117428103082e+02 9.035214718451767624e+01
1.017648159929404699e+02 9.904413199983518723e+01 9.742864816934326200e+01 1.111181352737747119e+02 1.059777971968634205e+02 8.412543231907942243e+01 8.761072291327315043e+01 1.071971385237909971e+02 9.830219300439620156e+01 9.521286691911322464e+01 1.151041619476301037e+02 9.111079018597523316e+01
9.575844816112808644e+01 1.160956347917162077e+02 1.017771758555651189e+02 1.066482392123816254e+02 9.368851371514119819e+01 1.107549254070184190e+02 9.365520217794113478e+01 9.739975491858778867e+01 9.547577124827695627e+01 1.004619494499022068e+02 1.130756764364246152e+02 1.050438530989117965e+02
9.828927413143631497e+01 1.070852905967981741e+02 1.014734870519870213e+02 1.033083527094962051e+02 9.615406116950538262e+01 1.081919331457541205e+02 9.123581269638036417e+01 9.711156369428775292e+01 1.128048576146516950e+02 9.671693786704406648e+01 8.818584551233077207e+01 1.103334636833730542e+02
1.065021231730069644e+02 1.065901323142112886e+02 9.361966979028235869e+01 1.117728859593751025e+02 1.015251239486142367e+02 1.029687872511717899e+02 1.023611741472911234e+02 1.055553437665360548e+02 9.246350641969962680e+01 8.687434042253661914e+01 1.086749968341104164e+02 1.015728276409826236e+02
9.378911388215337297e+01 9.733875107788520609e+01 9.440193567398246444e+01 9.194150940577613085e+01 1.014112568972935264e+02 9.920143091790134804e+01 9.431115700131779533e+01 1.050363352772057510e+02 8.068841724007988603e+01 1.144535019486863376e+02 1.034424734957756016e+02 1.005615955441888474e+02
